trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
176,False,"{'a': 0.7, 'e': 0.002020155492501274}",20,6,23.4869555674753,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.7, 'e': 0.002006467272583919}",20,0,27.30773120876388,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.7, 'e': 0.0019929481376349477}",20,15,11.511057222785222,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.7, 'e': 0.0019795950666007182}",25,8,26.0889773254876,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.7, 'e': 0.0019664051088795088}",20,7,22.4294052381518,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.7, 'e': 0.00195337538229861}",30,3,40.90163834961224,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.7, 'e': 0.00194050307116029}",20,5,24.426191300721406,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.7, 'e': 0.001927785424353925}",25,8,29.33988022038296,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.7, 'e': 0.0019152197535317092}",20,3,28.36605284499135,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.7, 'e': 0.0019028034313454685}",30,0,39.31723084769754,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
186,False,"{'a': 0.7, 'e': 0.0018905338897422161}",30,15,26.386878146299928,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.7, 'e': 0.0018784086183161897}",30,0,17.362718436414166,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
188,False,"{'a': 0.7, 'e': 0.001866425162715205}",30,0,43.1463931590728,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
189,False,"{'a': 0.7, 'e': 0.0018545811230992603}",30,15,25.456170727422602,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.7, 'e': 0.0018428741526494157}",20,2,31.368537743901296,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.7, 'e': 0.0018313019561250448}",20,7,22.508075326402764,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.7, 'e': 0.0018198622884676547}",20,0,33.81233408254435,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
193,False,"{'a': 0.7, 'e': 0.001808552953449531}",20,9,20.956748272993366,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.7, 'e': 0.001797371802365552}",25,13,21.56890370955058,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
